PlayerId;Year;Team Id;League Id;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
3;2021;4921;10;22;75240;0;0;0;0;0;84;689;0
3;2021;50;1;9;30780;0;0;0;0;0;31;267;0
3;2020;50;1;19;64980;0;0;0;0;0;63;553;0
3;2019;112;11;49;167580;0;0;0;0;0;128;1471;0
3;2018;112;11;57;194940;0;0;0;0;0;179;1827;0
3;2017;112;11;15;51300;0;0;0;0;0;73;545;0
20;2020;484;25;14;47880;0;0;0;0;0;62;681;0
20;2021;2626;9;36;123120;0;0;0;0;0;115;1009;0
20;2007;75;10;1;3600;0;0;0;0;0;4;35;0
20;2019;1106;198;39;133380;0;0;0;0;0;120;1250;0
20;2018;718;20;5;17100;0;0;0;0;0;11;117;0
20;2017;2160;134;25;85500;0;0;0;0;0;67;770;0
20;2011;57;1;23;78660;0;0;0;0;0;65;0;0
20;2010;43;1;42;143640;0;0;0;0;0;91;1096;0
20;2009;65;1;22;75240;0;0;0;0;0;52;0;0
20;2008;43;1;39;133380;0;0;0;0;0;103;0;0
20;2007;43;1;19;64980;0;0;0;0;0;60;632;0
20;2007;61;1;4;13680;0;0;0;0;0;12;0;0
20;2006;61;1;20;68400;0;0;0;0;0;55;478;0
20;2005;61;1;15;51300;0;0;0;0;0;37;381;0
20;2004;61;1;35;119700;0;0;0;0;0;83;0;0
20;2003;43;1;39;133380;0;0;0;0;0;99;0;0
20;2002;43;1;39;133380;0;0;0;0;0;117;0;0
20;2001;43;1;1;3600;0;0;0;0;0;3;0;0
20;2001;123;11;46;157320;0;0;0;0;0;102;1291;0
20;2014;629;6;35;119700;0;0;0;0;0;104;1040;0
20;2013;629;6;50;171000;0;0;0;0;0;125;1543;0
20;2012;629;6;52;177840;0;0;0;0;0;130;1529;0
20;2016;776;8;36;123120;0;0;0;0;0;70;986;0
20;2015;776;8;40;136800;0;0;0;0;0;79;1068;0
20;2006;16;0;19;53640;3;7;3;1;0;47;450;0
20;2005;16;0;19;57960;4;10;1;5;0;52;515;0
25;2020;689;57;20;68400;0;0;0;0;0;67;615;0
25;2021;689;57;33;112860;0;0;0;0;0;97;1054;0
25;2019;4757;57;16;54720;0;0;0;0;0;45;450;0
40;2021;1415;69;14;47880;0;0;0;0;0;41;410;0
40;2021;888;48;10;34200;0;0;0;0;0;42;266;0
40;2020;472;22;13;44460;0;0;0;0;0;33;393;0
40;2019;888;48;25;85500;0;0;0;0;0;73;646;0
40;2019;883;4;1;3600;0;0;0;0;0;5;35;0
40;2019;1017;70;1;1200;0;0;0;0;0;0;10;0
40;2018;1017;70;33;112860;0;0;0;0;0;76;938;0
41;2021;772;54;9;30780;0;0;0;0;0;20;238;0
41;2020;772;54;13;44460;0;0;0;0;0;31;369;0
41;2019;261;35;7;23940;0;0;0;0;0;20;202;0
41;2018;933;53;23;78660;0;0;0;0;0;56;659;0
47;2020;500;23;4;13680;0;0;0;0;0;6;86;0
47;2019;500;23;19;64980;0;0;0;0;0;52;578;0
54;2021;21;0;10;30600;4;4;1;0;0;26;264;0
54;2020;9;0;24;78360;9;11;1;0;0;65;757;0
54;2019;9;0;46;153960;15;22;3;0;1;126;1353;0
54;2018;9;0;35;111600;9;18;5;0;1;98;1025;0
54;2017;25;0;37;120060;19;13;3;0;2;95;1092;0
54;2015;63;1;4;13680;0;0;0;0;0;5;0;0
54;2009;49;1;58;198360;0;0;0;0;0;112;0;0
54;2008;49;1;54;184680;0;0;0;0;0;123;0;0
54;2007;49;1;3;10800;0;0;0;0;0;5;0;0
54;2007;1340;13;34;116280;0;0;0;0;0;88;957;0
54;2006;1340;13;37;126540;0;0;0;0;0;90;947;0
54;2005;1340;13;54;184680;0;0;0;0;0;139;1511;0
54;2004;1340;13;23;78660;0;0;0;0;0;65;714;0
54;2016;30;0;39;119580;21;7;4;0;2;83;982;0
54;2015;3;0;38;128820;12;21;3;0;3;103;1114;0
54;2014;3;0;58;190620;21;28;7;0;2;152;1735;0
54;2013;3;0;55;185040;26;19;7;8;1;139;1788;0
54;2012;11;0;14;46080;9;3;1;1;1;24;306;0
54;2011;11;0;16;53400;5;6;2;1;1;35;383;0
54;2010;11;0;25;82680;11;8;3;1;3;57;652;0
54;2009;11;0;3;11100;3;0;0;0;1;4;94;0
54;2007;11;0;4;14280;1;3;0;2;0;16;118;0
64;2021;31;0;54;184920;39;7;3;0;3;137;1566;0
64;2020;31;0;31;108960;19;8;2;0;0;88;935;0
64;2012;732;2;24;82080;0;0;0;0;0;44;647;0
64;2009;750;2;35;119700;0;0;0;0;0;90;1111;0
64;2008;750;2;32;109440;0;0;0;0;0;76;1041;0
64;2019;31;0;50;168360;23;19;6;0;1;151;1505;0
64;2018;34;0;62;213420;37;24;1;0;9;153;1756;0
64;2017;34;0;65;234720;37;22;6;0;5;158;1993;0
64;2016;34;0;63;222420;41;17;5;0;7;127;1854;0
64;2015;34;0;37;126960;15;19;1;0;1;97;1049;0
64;2014;34;0;51;179640;30;17;3;0;2;134;1632;0
64;2013;34;0;58;197940;32;20;5;5;5;131;1699;0
64;2012;34;0;38;133140;21;11;6;3;4;74;1084;0
64;2011;14;0;29;93000;14;10;2;2;0;78;769;0
64;2010;14;0;54;181020;28;13;8;4;0;130;1527;0
65;2020;956;69;19;64980;0;0;0;0;0;47;500;0
65;2021;978;69;25;85500;0;0;0;0;0;45;652;0
65;2019;956;69;27;92340;0;0;0;0;0;57;620;0
65;2018;956;69;18;61560;0;0;0;0;0;33;485;0
71;2021;4548;81;12;41040;0;0;0;0;0;20;286;0
83;2020;1501;56;8;27360;0;0;0;0;0;20;250;0
83;2021;1340;13;42;143640;0;0;0;0;0;113;1046;0
83;2020;918;53;3;10800;0;0;0;0;0;3;49;0
83;2019;918;53;2;7200;0;0;0;0;0;2;36;0
88;2021;715;20;31;106020;0;0;0;0;0;101;981;0
88;2020;715;20;36;123120;0;0;0;0;0;105;1313;0
88;2017;1482;83;5;17100;0;0;0;0;0;21;163;0
88;2016;1476;83;10;34200;0;0;0;0;0;30;309;0
88;2019;721;20;42;143640;0;0;0;0;0;120;1348;0
88;2018;721;20;39;133380;0;0;0;0;0;97;1276;0
