PlayerId;Year;TeamId;LeagueId;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
87298;1972;3703;1;8;27360;0;0;0;0;0;37;0;0
87313;1933;10;0;2;7200;0;1;1;0;1;2;0;0
87313;1932;10;0;8;29280;6;1;1;0;2;13;0;0
87340;1949;3729;1;2;7200;0;0;0;0;0;10;0;0
87340;1948;3729;1;7;23940;0;0;0;0;0;19;0;0
87340;1946;9;0;5;15780;1;3;0;0;0;13;0;0
87390;1971;140;13;3;10800;0;0;0;0;0;11;100;0
87390;1970;3696;13;1;3600;0;0;0;0;0;2;24;0
87390;1969;3696;13;9;30780;0;0;0;0;0;41;347;0
87390;1972;1212;72;3;9180;0;2;0;0;0;11;66;0
87420;2007;560;9;2;7200;0;0;0;0;0;7;62;0
87420;2003;39;1;2;7200;0;0;0;0;0;5;57;0
87420;2001;39;1;1;3600;0;0;0;0;0;4;24;0
87420;1998;42;1;3;10800;0;0;0;0;0;13;98;0
87420;1996;42;1;3;10800;0;0;0;0;0;14;89;0
87420;1998;30;0;1;1800;0;1;0;0;0;2;11;0
87432;1996;139;13;2;7200;0;0;0;0;0;9;70;0
87432;1995;138;13;4;13680;0;0;0;0;0;21;140;0
87432;1994;138;13;3;10800;0;0;0;0;0;10;92;0
87432;2014;612;16;10;34200;0;0;0;0;0;23;280;0
87432;1997;1514;10;3;10800;0;0;0;0;0;5;0;0
87432;2011;633;6;2;7200;0;0;0;0;0;8;62;0
87432;2010;633;6;9;30780;0;0;0;0;0;24;279;0
87432;2009;633;6;3;10800;0;0;0;0;0;11;76;0
87432;2008;57;1;1;3600;0;0;0;0;0;1;30;0
87432;2007;58;1;12;41040;0;0;0;0;0;26;321;0
87432;2005;63;1;5;17100;0;0;0;0;0;13;157;0
87432;2004;63;1;1;3600;0;0;0;0;0;1;23;0
87432;2002;59;1;6;20520;0;0;0;0;0;12;171;0
87432;2000;15;0;1;60;0;0;0;0;0;0;0;0
87436;1976;1200;72;3;1080;0;0;0;0;0;1;10;0
87443;2000;124;11;4;13680;0;0;0;0;0;14;133;0
87443;1999;124;11;6;20520;0;0;0;0;0;11;234;0
87443;1998;124;11;3;10800;0;0;0;0;0;10;115;0
87443;2004;37;1;3;10800;0;0;0;0;0;9;64;0
87443;2001;37;1;1;1200;0;0;0;0;0;0;10;0
87443;2003;18;0;3;13320;1;2;0;0;0;9;88;0
87443;2002;18;0;1;1200;0;0;0;0;0;1;5;0
87457;1996;48;1;1;3600;0;0;0;0;0;4;32;0
87467;2000;1511;10;3;10800;0;0;0;0;0;9;92;0
87467;1993;1511;10;3;10800;0;0;0;0;0;11;0;0
87467;1991;106;12;10;34200;0;0;0;0;0;40;325;0
87467;2000;41;10;3;10800;0;0;0;0;0;9;92;0
87467;1993;41;10;3;10800;0;0;0;0;0;11;0;0
87467;1996;38;1;7;23940;0;0;0;0;0;20;227;0
87467;1995;38;1;2;7200;0;0;0;0;0;6;82;0
87467;1994;38;1;9;30780;0;0;0;0;0;32;219;0
87476;1983;40;1;6;20520;0;0;0;0;0;22;0;0
87476;1983;38;1;6;20520;0;0;0;0;0;22;0;0
87476;1978;56;1;5;17100;0;0;0;0;0;16;0;0
87476;1980;10;0;14;49560;7;7;0;0;0;55;0;0
87482;1994;56;1;9;30780;0;0;0;0;0;23;307;0
87482;1992;38;1;2;7200;0;0;0;0;0;8;0;0
87495;1979;63;1;17;58140;0;0;0;0;0;47;0;0
87495;1978;63;1;3;10800;0;0;0;0;0;14;0;0
87495;1985;8;0;2;4860;0;1;0;0;0;9;40;0
87495;1984;8;0;15;54360;9;6;0;3;0;72;547;0
87495;1983;8;0;5;18000;2;3;0;1;0;17;171;0
87495;1982;8;0;8;28800;4;4;0;1;0;32;0;0
87495;1981;8;0;10;33300;5;4;0;0;0;35;0;0
87511;1980;5;0;1;1200;0;1;0;0;0;3;0;0
87515;1999;28;0;6;22320;2;4;0;1;0;16;168;0
87515;1998;15;0;13;47220;6;7;0;1;1;35;350;0
87515;1997;15;0;6;22560;2;4;0;1;0;17;171;0
87515;1995;15;0;10;33480;4;5;0;2;1;26;337;0
87515;1994;15;0;2;4800;0;1;0;0;0;8;41;0
87515;1993;15;0;6;21360;2;4;0;3;0;17;162;0
