StaffId;Executive;Manager;Coach;Scout;Trainer;Off Pref;Phy Pref;Line Matching;Goalie Handling;Favor Veterans;Innovation;Loyalty;Coaching G;Coaching Defense;Coaching Forwards;Coaching Prospects;Def Skills;Off Skills;Phy Training;Player Management;Motivation;Discipline;Negotiating;Self-Preservation;Tactics;Ingame Tactics;Trainer Skill;Evaluate Abilities;Evaluate Potential
0;10;10;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;17;13;14;17;13;16;13;11;12;10;10;13;14;0;;12;14
1;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;13;14;13;14;15;14;13;15;11;10;14;15;12;0;;13;11
2;1;10;20;16;1;Standard;Balanced;Passive;Balanced;Balanced;Conservative;Loyal;14;16;16;15;16;15;13;14;14;16;11;15;15;17;0;;15;13
3;1;16;20;20;1;Standard;Physical;Aggressive;Conservative;Prefers Veterans;Very Conservative;Ruthless;13;16;16;14;16;15;16;18;13;14;15;14;16;15;0;;15;13
4;1;18;20;20;1;Defensive;Non-physical;Passive;Conservative;Prefers Veterans;Conservative;Ruthless;15;15;15;14;15;15;12;15;15;15;13;15;16;15;0;;16;12
5;10;10;20;20;1;Standard;Non-physical;Balanced;Balanced;Prefers Veterans;Balanced;Loyal;10;14;15;14;14;15;10;15;13;12;10;11;15;15;0;;14;12
6;10;16;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;13;16;16;14;15;15;16;15;13;13;14;15;13;0;;15;13
7;1;16;20;20;1;Standard;Balanced;Aggressive;Conservative;Prefers Veterans;Conservative;Loyal;13;17;17;14;16;16;13;18;16;17;12;16;18;17;0;;16;12
8;10;10;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;11;17;12;15;15;15;14;11;11;10;10;12;14;0;;15;13
9;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;15;13;15;16;14;14;16;12;12;10;11;14;14;0;;14;12
10;10;10;20;20;1;Standard;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;11;14;16;11;13;16;16;15;12;13;10;14;15;16;0;;15;13
11;1;20;20;16;1;Offensive;Non-physical;Balanced;Balanced;Prefers Prospects;Innovative;Ruthless;15;16;18;16;16;18;14;12;10;12;15;12;18;18;0;;16;14
12;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;15;12;14;15;12;15;14;15;10;12;13;15;0;;15;13
13;1;14;20;20;1;Defensive;Physical;Balanced;Balanced;Prefers Veterans;Conservative;Balanced;15;17;15;13;17;13;17;13;16;18;13;15;16;15;0;;15;13
14;1;10;20;20;1;Defensive;Balanced;Balanced;Aggressive;Balanced;Balanced;Loyal;11;16;14;15;16;14;14;16;9;12;12;10;15;15;0;;12;15
15;1;13;20;20;1;Standard;Balanced;Aggressive;Conservative;Balanced;Conservative;Balanced;15;19;17;14;19;13;15;19;18;17;12;16;19;18;0;;16;12
16;10;12;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;14;15;13;14;14;15;15;15;13;10;14;15;14;0;;14;12
17;1;11;20;20;1;Defensive;Physical;Passive;Balanced;Prefers Veterans;Conservative;Very Loyal;16;16;14;13;17;13;17;15;17;16;10;14;15;17;0;;14;12
