playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,I_F_penalities,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalities,penalityMinutesDrawn,penalitiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8467436,2007,Jay Leach,T.B,D,other,2,6.0,0.0,0.05,0.0,0.04,0.0,0.5,0.0,0.33,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.06,0.06,0.06,0.06,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.02,0.0,0.0,0.08,0.08,0.08,0.04,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8467436,2007,Jay Leach,T.B,D,all,2,554.0,16.0,0.1,0.14,0.41,0.43,0.48,0.33,0.52,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,3.0,12.0,2.0,1.0,4.0,9.0,0.0,0.0,6646.0,0.0,0.0,0.0,0.0,2.0,0.67,0.02,0.02,0.02,0.02,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,2.91,1.0,0.97,0.01,0.0,0.0,0.03,0.03,0.03,1.08,0.12,0.12,0.12,0.12,1.0,1.0,2.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.12,0.0,0.0,1.0,0.0,0.0,4.1,2.0,2.03,0.03,0.0,0.0,0.15,0.15,0.15,1.22,1.75,44.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
8467436,2007,Jay Leach,T.B,D,5on5,2,548.0,16.0,0.1,0.24,0.61,0.5,0.52,0.5,0.58,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,3.0,12.0,2.0,1.0,4.0,9.0,0.0,0.0,5448.0,0.0,0.0,0.0,0.0,2.0,0.67,0.02,0.02,0.02,0.02,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,2.91,1.0,0.97,0.01,0.0,0.0,0.03,0.03,0.03,0.43,0.06,0.06,0.06,0.06,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,3.1,1.0,1.03,0.01,0.0,0.0,0.07,0.07,0.07,1.1,0.7,37.0,34.0,0.07,0.0,2.0,0.0,2.0,0.0
8467436,2007,Jay Leach,T.B,D,4on5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8467436,2007,Jay Leach,T.B,D,5on4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8469442,2007,Duvie Westcott,CBJ,D,other,23,1958.0,39.0,1.13,0.53,0.54,0.7,0.58,0.8,0.54,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,10.0,3.0,6.0,20.0,0.0,9.0,6.0,24.0,0.0,0.0,4763.0,4.0,2.0,0.0,0.0,1.0,4.59,0.57,0.55,0.57,0.55,0.0,8.0,8.0,16.0,0.0,0.0,0.0,4.0,4.0,0.0,0.13,0.44,0.0,0.0,0.0,0.0,16.0,8.0,8.0,0.15,0.0,0.0,0.66,0.66,0.64,1.24,0.52,0.52,0.52,0.52,2.0,0.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,1.0,0.08,0.0,0.44,1.0,0.0,1.0,7.0,2.0,2.0,0.01,0.0,0.0,0.53,0.53,0.53,3.19,2.71,34.0,25.0,0.13,0.0,3.0,0.0,2.0,0.0
8469442,2007,Duvie Westcott,CBJ,D,all,23,23407.0,486.0,2.03,0.72,0.5,0.63,0.51,0.61,0.5,114.0,7.71,0.22,0.62,1.86,0.25,5.77,3.29,0.21,0.22,0.21,2.0,1.0,1.0,11.0,23.0,35.0,4.0,1.0,0.0,0.0,0.0,2.0,7.0,2.0,0.0,11.0,10.0,20.0,0.0,20.0,3.0,8.0,12.0,0.0,0.0,0.22,0.0,0.0,1.0,0.0,0.0,35.25,12.0,11.89,3.0,0.14,0.0,0.0,0.36,0.36,0.35,486.0,78.0,25.0,71.0,312.0,63.0,72.0,89.0,262.0,0.0,0.0,63787.0,20.0,10.0,6.0,3.0,14.0,57.5,8.86,8.05,8.89,8.08,17.0,73.0,98.0,188.0,17.0,2.0,4.0,63.0,17.0,10.0,2.24,1.89,4.73,6.0,3.0,8.0,188.44,90.0,90.56,1.1,0.12,1.69,7.87,7.9,7.16,39.51,3.51,3.49,3.55,3.53,15.0,43.0,53.0,111.0,15.0,0.0,0.0,45.0,10.0,3.0,1.54,1.09,0.88,8.0,5.0,2.0,111.83,58.0,58.51,0.58,0.0,0.17,3.84,3.89,3.87,17.61,17.54,427.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0
8469442,2007,Duvie Westcott,CBJ,D,5on5,23,16086.0,354.0,2.03,0.55,0.52,0.54,0.53,0.51,0.52,122.0,3.76,0.1,0.23,1.02,0.13,2.68,1.83,0.1,0.1,0.09,0.0,1.0,0.0,6.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,6.0,7.0,14.0,0.0,17.0,3.0,4.0,6.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,18.25,6.0,5.89,2.0,0.05,0.0,0.0,0.14,0.14,0.14,354.0,36.0,18.0,48.0,252.0,50.0,56.0,67.0,181.0,0.0,0.0,45111.0,14.0,7.0,4.0,2.0,12.0,31.63,2.86,2.75,2.89,2.78,5.0,42.0,59.0,106.0,5.0,2.0,2.0,38.0,7.0,2.0,1.27,0.86,0.72,2.0,1.0,2.0,106.44,47.0,47.56,0.43,0.12,0.76,2.46,2.49,2.46,31.8,2.37,2.36,2.42,2.4,13.0,33.0,44.0,90.0,13.0,0.0,0.0,37.0,8.0,1.0,1.23,0.92,0.23,7.0,5.0,1.0,90.83,46.0,46.51,0.43,0.0,0.17,2.63,2.68,2.67,9.61,8.8,313.0,280.0,0.67,0.15,23.0,6.0,17.0,5.0
8469442,2007,Duvie Westcott,CBJ,D,4on5,23,790.0,22.0,1.8,0.0,0.2,0.0,0.14,0.0,0.17,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,4.0,3.0,14.0,2.0,3.0,2.0,15.0,0.0,0.0,4433.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67,0.4,0.4,0.4,0.4,0.0,9.0,3.0,12.0,0.0,0.0,0.0,7.0,2.0,0.0,0.23,0.17,0.0,0.0,0.0,0.0,12.0,9.0,9.0,0.12,0.0,0.0,0.46,0.46,0.45,0.56,2.23,9.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
8469442,2007,Duvie Westcott,CBJ,D,5on4,23,4573.0,71.0,1.93,0.96,0.92,0.97,0.91,0.97,0.87,54.0,3.95,0.12,0.38,0.83,0.12,3.09,1.46,0.12,0.12,0.12,2.0,0.0,1.0,5.0,10.0,16.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,1.0,2.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0.12,0.0,0.0,1.0,0.0,0.0,16.0,6.0,6.0,1.0,0.1,0.0,0.0,0.22,0.22,0.21,71.0,31.0,0.0,14.0,26.0,11.0,4.0,14.0,42.0,0.0,0.0,4957.0,2.0,1.0,0.0,0.0,0.0,21.28,5.43,4.75,5.43,4.75,12.0,23.0,31.0,66.0,12.0,0.0,2.0,21.0,6.0,8.0,0.84,0.58,4.0,4.0,2.0,6.0,66.0,35.0,35.0,0.52,0.0,0.94,4.75,4.75,4.06,0.79,0.22,0.22,0.22,0.22,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22,0.0,0.0,0.0,2.0,1.0,1.0,0.01,0.0,0.0,0.23,0.23,0.23,2.63,0.22,59.0,6.0,0.06,0.0,4.0,0.0,3.0,0.0
